MMSI,Message_ID,Repeat_indicator,Time,Millisecond,Region,Country,Base_station,Online_data,Group_code,Sequence_ID,Channel,Data_length,Vessel_Name,Call_sign,IMO,Ship_Type,Dimension_to_Bow,Dimension_to_stern,Dimension_to_port,Dimension_to_starboard,Draught,Destination,AIS_version,Navigational_status,ROT,SOG,Accuracy,Longitude,Latitude,COG,Heading,Regional,Maneuver,RAIM_flag,Communication_flag,Communication_state,UTC_year,UTC_month,UTC_day,UTC_hour,UTC_minute,UTC_second,Fixing_device,Transmission_control,ETA_month,ETA_day,ETA_hour,ETA_minute,Sequence,Destination_ID,Retransmit_flag,Country_code,Functional_ID,Data,Destination_ID_1,Sequence_1,Destination_ID_2,Sequence_2,Destination_ID_3,Sequence_3,Destination_ID_4,Sequence_4,Altitude,Altitude_sensor,Data_terminal,Mode,Safety_text,Non-standard_bits,Name_extension,Name_extension_padding,Message_ID_1_1,Offset_1_1,Message_ID_1_2,Offset_1_2,Message_ID_2_1,Offset_2_1,Destination_ID_A,Offset_A,Increment_A,Destination_ID_B,offsetB,incrementB,data_msg_type,station_ID,Z_count,num_data_words,health,unit_flag,display,DSC,band,msg22,offset1,num_slots1,timeout1,Increment_1,Offset_2,Number_slots_2,Timeout_2,Increment_2,Offset_3,Number_slots_3,Timeout_3,Increment_3,Offset_4,Number_slots_4,Timeout_4,Increment_4,ATON_type,ATON_name,off_position,ATON_status,Virtual_ATON,Channel_A,Channel_B,Tx_Rx_mode,Power,Message_indicator,Channel_A_bandwidth,Channel_B_bandwidth,Transzone_size,Longitude_1,Latitude_1,Longitude_2,Latitude_2,Station_Type,Report_Interval,Quiet_Time,Part_Number,Vendor_ID,Mother_ship_MMSI,Destination_indicator,Binary_flag,GNSS_status,spare,spare2,spare3,spare4
"338071000","1","0","20130825_004352","233","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","23.5","1","-23.30063","38.1240483333","275.7","277.0","","0","0","","98303","","","","","","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"338071000","1","0","20130825_004356","153","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","23.6","1","-23.3011833333","38.1240933333","275.8","277.0","","0","0","","100546","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"372897000","1","0","20130825_004401","304","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","10.9","1","-71.0962666667","38.0798166667","70.0","72.0","","0","0","","114692","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004503","670","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","-10.0","10.5","0","-44.585145","36.8527766667","203.7","209.0","","0","1","","2251","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004524","390","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","10.5","0","-44.585685","36.851845","204.6","210.0","","0","1","","98303","","","","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004710","202","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.4801","44.8688833333","262.0","265.0","","0","0","","33316","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004723","616","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","10.6","0","-44.58877","36.84651","205.8","210.0","","0","1","","65535","","","","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004740","895","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.6","0","-39.2794833333","44.90235","252.0","253.0","","0","0","","2210","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004743","963","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","10.6","0","-44.5892933333","36.8456216667","205.3","210.0","","0","1","","131071","","","","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","5","0","20130825_004755","857","2","316","316000002","1AIS_S","None","1","B","[56, 15]","ANGUS EXPRESS","DYUJ","9167057","79","15","87","6","10","54","WILMINGTON","0","","","","","","","","","","","","","","","","","","","","1","","9","2","0","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
