1
"[57.423072, 8.690758, 11.6, 51.5]"
"[57.739633, 9.477467, 14.3, 79.0]"
"[57.662712, 8.101815, 10.5, 85.9]"
"[57.484517, 9.17192, 14.0, 63.5]"
"[57.465242, 9.300977, 11.3, 62.2]"
"[57.718127, 8.585957, 5.2, 86.0]"
"[57.47315, 8.8178, 14.3, 56.0]"
"[57.611827, 9.763417, 11.9, 70.0]"
"[57.790367, 9.59102, 13.2, 75.1]"
"[57.739717, 9.478183, 14.3, 78.0]"
"[57.476608, 9.08707, 11.3, 63.0]"
"[57.662743, 8.102357, 10.5, 84.6]"
"[57.385087, 8.649465, 12.3, 57.9]"
"[57.4306, 8.47115, 13.4, 58.9]"
"[57.484688, 9.172568, 14.1, 63.4]"
"[57.634735, 9.503648, 11.7, 68.3]"
"[57.445913, 8.86046, 13.4, 52.1]"
"[57.473367, 8.818417, 14.3, 56.0]"
"[57.792538, 9.12664, 10.1, 82.3]"
"[57.739923, 9.224085, 13.4, 87.4]"
"[57.662735, 8.102543, 10.5, 87.4]"
"[57.465502, 9.3017, 11.3, 56.5]"
"[57.423467, 8.691707, 11.6, 52.5]"
"[57.476758, 9.087582, 11.3, 62.0]"
"[57.612038, 9.764332, 11.5, 69.6]"
"[57.7398, 9.479033, 14.3, 78.0]"
"[57.484832, 9.173108, 14.1, 63.8]"
"[57.4736, 8.819033, 14.3, 56.0]"
"[57.4306, 8.47115, 13.4, 58.9]"
"[57.790503, 9.592118, 13.1, 76.3]"
"[57.476818, 9.087855, 11.3, 64.1]"
"[57.634918, 9.504495, 11.8, 67.7]"
"[57.430883, 8.472067, 13.5, 58.7]"
"[57.792597, 9.127425, 10.2, 81.4]"
"[57.385397, 8.650583, 12.2, 61.2]"
"[57.739867, 9.479767, 14.3, 79.0]"
"[57.446287, 8.86141, 13.7, 55.8]"
"[57.684442, 8.23711, 12.6, 76.4]"
"[57.476918, 9.0882, 11.3, 63.6]"
"[57.73995, 9.225238, 13.4, 87.3]"
"[57.485033, 9.17386, 14.0, 63.6]"
"[57.473817, 8.81965, 14.3, 56.0]"
"[57.465762, 9.302543, 11.3, 57.3]"
"[57.423732, 8.692337, 11.7, 51.6]"
"[57.612227, 9.765172, 11.5, 64.7]"
"[57.718152, 8.586827, 5.1, 87.3]"
"[57.792597, 9.127425, 10.2, 81.4]"
"[57.790637, 9.593115, 13.2, 76.0]"
"[57.73995, 9.480483, 14.3, 79.0]"
"[57.485175, 9.174405, 14.2, 63.9]"
"[57.474, 8.820167, 14.3, 56.0]"
"[57.477088, 9.088802, 11.3, 62.7]"
"[57.431233, 8.473167, 13.5, 59.0]"
"[57.385633, 8.651407, 12.2, 63.4]"
"[57.792665, 9.12829, 10.2, 81.2]"
"[57.635143, 9.505525, 11.8, 68.0]"
"[57.446663, 8.862347, 13.6, 52.4]"
"[57.662815, 8.10426, 10.5, 84.1]"
"[57.73998, 9.226268, 13.3, 87.3]"
"[57.684557, 8.238293, 12.7, 77.7]"
